County/State,Year,ACTUAL_COUNT,Latitude,Longitude
"BEE, Texas",2020,1,28.3624206,-97.6982272
"BELL, Texas",2020,1,31.134411,-97.5247243
"BERKELEY, South Carolina",2020,1,33.1260618,-80.0087746
"BERKELEY, West Virginia",2020,10,39.4885604,-78.0651931
"BEXAR, Texas",2020,1,29.4200763,-98.5721016
"BIBB, Georgia",2020,8,32.7865735,-83.7199136
"BOONE, Kentucky",2020,1,38.9940572,-84.7315563
"BOONE, West Virginia",2020,3,37.9838605,-81.734942
"BOSSIER, Louisiana",2020,1,32.5159852,-93.7321228
"BOX ELDER, Utah",2020,2,41.5380087,-113.1918021
"BRANTLEY, Georgia",2020,3,31.1510963,-81.9971108
"BRAXTON, West Virginia",2020,1,38.7023371,-80.7214417
"BROOKE, West Virginia",2020,1,40.2697757,-80.5660657
"BURNETT, Wisconsin",2020,1,43.504715,-88.707049
"CAMDEN, Missouri",2020,1,38.0322944,-92.6983868
"CAMPBELL, Wyoming",2020,1,44.3956107,-105.4489183
"CAROLINE, Virginia",2020,1,38.0445557,-77.2864879
"CARROLL, Virginia",2020,1,36.6778699,-80.7214417
"CARSON CITY, Nevada",2020,1,39.1637984,-119.7674034
"CARVER, Minnesota",2020,1,44.7633943,-93.6254404
"CASTRO, Texas",2020,1,34.4985047,-102.3463875
"CATAWBA, North Carolina",2020,2,35.7073558,-81.0756345
"CHAMBERS, Texas",2020,3,29.7524956,-94.6863782
"CHARLEVOIX, Michigan",2020,1,45.3180632,-85.2584004
"CHEROKEE, Georgia",2020,1,34.2514526,-84.4802606
"CHESTERFIELD, Virginia",2020,4,37.3673217,-77.6077865
"CLARK, Washington",2020,1,33.8742823,-84.2774915
"CLAYTON, Georgia",2020,8,34.8781479,-83.4009933
"COBB, Georgia",2020,16,33.8999297,-84.564147
"COFFEE, Georgia",2020,1,31.5182285,-82.820974
"COLLIER, Florida",2020,3,26.069985,-81.4278984
"COOK, Illinois",2020,1,41.7376587,-87.697554
"COOKE, Texas",2020,3,33.6672185,-97.3516558
"COWETA, Georgia",2020,10,33.3716708,-84.7315563
"CRAWFORD, Georgia",2020,1,33.8828954,-83.154596
"CRAWFORD, Michigan",2020,1,44.6524316,-84.6897495
"CULPEPER, Virginia",2020,1,38.4733409,-77.9961308
"CUMBERLAND, North Carolina",2020,4,34.9542604,-78.7476208
"CUMBERLAND, Virginia",2020,1,37.4963918,-78.2448664
"DEKALB, Georgia",2020,27,33.7956441,-84.2278796
"DODGE, Georgia",2020,1,34.0954235,-84.0104335
"DOUGLAS, Colorado",2020,1,39.2587106,-104.9388853
"DOUGLAS, Georgia",2020,6,31.5088073,-82.8498654
"DURHAM, North Carolina",2020,1,35.9940329,-78.898619
"EDWARDS, Texas",2020,43,29.9282955,-100.439656
"EFFINGHAM, Georgia",2020,1,32.378148,-81.3839326
"EL PASO, Texas",2020,1,31.7618778,-106.4850217
"ELLIS, Texas",2020,3,32.2619765,-96.8350999
"FAIRFAX, Virginia",2020,1,38.8462236,-77.3063733
"FAYETTE, West Virginia",2020,1,38.0615913,-81.0754657
"FLAGLER, Florida",2020,1,29.4086072,-81.2518833
"FLOYD, Georgia",2020,22,34.2828967,-85.2308414
"FORT BEND, Texas",2020,6,29.5692614,-95.8142885
"FRANKLIN, Kentucky",2020,3,36.7187855,-86.5785573
"FULTON, Georgia",2020,1,33.8033965,-84.3962535
"GALVESTON, Texas",2020,1,29.3013479,-94.7976958
"GENESEE, Michigan",2020,20,43.0777289,-83.6773928
"GOLIAD, Texas",2020,1,28.6683252,-97.3883265
"GREENVILLE, South Carolina",2020,3,34.8526176,-82.3940104
"HALL, Georgia",2020,1,34.30778,-83.804868
"HAMILTON, Tennessee",2020,1,35.1618966,-85.1479364
"HARDY, West Virginia",2020,2,39.0416116,-78.9288242
"HARFORD, Maryland",2020,-1,39.5838964,-76.3637285
"HARRIS, Texas",2020,93,29.7751825,-95.3102505
"HAYWOOD, North Carolina",2020,2,35.624394,-82.9931607
"HENNEPIN, Minnesota",2020,1,45.0208911,-93.5094574
"HENRICO, Virginia",2020,25,37.5059332,-77.3324425
"HERNANDO, Florida",2020,1,28.8999815,-82.3745401
"HILLSBOROUGH, Florida",2020,25,27.9903597,-82.3017728
"HILLSDALE, Michigan",2020,1,41.9200472,-84.6305101
"HOPKINS, Texas",2020,1,33.2282942,-95.4777811
"HORRY, South Carolina",2020,3,33.9196567,-78.9288242
"HOWARD, Maryland",2020,7,39.2873463,-76.964306
"INGHAM, Michigan",2020,2,42.6468943,-84.3542049
"JACKSON, Michigan",2020,1,42.245869,-84.4013462
"JASPER, Missouri",2020,1,37.3361642,-94.301336
"JEFFERSON, Louisiana",2020,1,29.9660371,-90.1531298
"KANAWHA, West Virginia",2020,10,38.2556905,-81.4278984
"KENT, Michigan",2020,1,43.0097027,-85.520024
"KOSCIUSKO, Indiana",2020,1,41.2864679,-85.8486236
"LAKE OF THE WOODS, Minnesota",2020,1,48.6943855,-94.9265474
"LANCASTER, South Carolina",2020,2,34.7204257,-80.7709014
"LEE, Florida",2020,14,30.4196584,-83.3004216
"LEWIS, West Virginia",2020,2,39.0196167,-80.543845
"LEXINGTON, South Carolina",2020,4,33.9815369,-81.2362107
"LINCOLN, West Virginia",2020,1,38.1761009,-82.0842901
"LOGAN, West Virginia",2020,2,37.8487147,-81.9934581
"LOWNDES, Georgia",2020,10,30.8600022,-83.2934086
"MACOMB, Michigan",2020,2,42.6651965,-82.9286428
"MARATHON, Wisconsin",2020,2,44.850452,-89.8505012
"MARSHALL, West Virginia",2020,2,38.4236242,-82.4247401
"MASON, West Virginia",2020,3,39.021745,-82.0290296
"MCDONALD, Missouri",2020,1,36.617812,-94.315422
"MCLEAN, North Dakota",2020,1,47.6185079,-101.131122
"MERCER, West Virginia",2020,1,37.4322638,-81.1196075
"MERIWETHER, Georgia",2020,1,33.0561282,-84.6897495
"MERRIMACK, New Hampshire",2020,2,42.8678693,-71.4948322
"MILLE LACS, Minnesota",2020,1,46.2529828,-93.6605345
"MINERAL, West Virginia",2020,2,39.4068988,-78.8835548
"MONONGALIA, West Virginia",2020,3,39.6695849,-79.9640339
"MONROE, Indiana",2020,1,40.7450468,-84.9369111
"MONTGOMERY, Maryland",2020,3,39.1547426,-77.2405153
"MONTGOMERY, Ohio",2020,5,39.2281143,-84.3541062
"MONTGOMERY, Tennessee",2020,4,36.4960406,-87.460397
"MORGAN, West Virginia",2020,4,39.5073361,-78.2476146
"MORTON, North Dakota",2020,1,46.6683872,-101.1621736
"MULTNOMAH, Oregon",2020,1,45.5145659,-122.5863211
"MUSCOGEE, Georgia",2020,7,32.4794133,-84.8984775
"NEW CASTLE, Delaware",2020,4,39.6620397,-75.5668166
"NEWTON, Georgia",2020,1,31.3129575,-84.3357424
"NICHOLAS, West Virginia",2020,1,38.3307714,-80.7657804
"NYE, Nevada",2020,1,38.5807111,-116.0413889
"OAKLAND, Michigan",2020,1,42.5921924,-83.336188
"ORANGE, Florida",2020,14,29.1383165,-80.9956105
"OUTAGAMIE, Wisconsin",2020,1,44.4636545,-88.4016041
"PALM BEACH, Florida",2020,96,26.7056206,-80.0364297
"PASCO, Florida",2020,5,28.3232418,-82.4319405
"PATRICK, Virginia",2020,2,36.6886252,-80.3213106
"PAULDING, Georgia",2020,18,33.9142037,-84.8984775
"PERSON, North Carolina",2020,1,36.3528221,-78.9288242
"PICKAWAY, Ohio",2020,1,39.687828,-82.9931607
"PIERCE, Washington",2020,1,47.0675877,-122.1295269
"PITTSYLVANIA, Virginia",2020,2,36.7440186,-79.4703885
"PRINCE GEORGE'S, Maryland",2020,2,38.7849211,-76.8720961
"PRINCE GEORGE, Virginia",2020,1,37.1593052,-77.2405153
"PULASKI, Arkansas",2020,1,34.7538615,-92.2236667
"RACINE, Wisconsin",2020,2,42.7261309,-87.7828523
"RALEIGH, West Virginia",2020,1,37.7381597,-81.2518833
"RANDOLPH, Illinois",2020,1,38.0629321,-89.7755338
"RITCHIE, West Virginia",2020,1,39.1822303,-81.0312989
"ROANOKE, Virginia",2020,1,37.2709704,-79.9414266
"RUSSELL, Virginia",2020,1,36.9904385,-82.0842901
"RUTHERFORD, Tennessee",2020,1,36.1275673,-88.9858988
"SALINE, Missouri",2020,1,39.1943564,-93.1779659
"SAN PATRICIO, Texas",2020,2,27.9544619,-97.7719419
"SCOTT, Virginia",2020,1,36.6815794,-82.605118
"SEMINOLE, Florida",2020,2,27.8397466,-82.7912134
"SHEBOYGAN, Wisconsin",2020,2,43.7508284,-87.71453
"SHELBY, Tennessee",2020,1,35.1268552,-89.9253233
"SHELBY, Texas",2020,1,30.0216106,-96.5983064
"SHERBURNE, Minnesota",2020,1,45.4644612,-93.7298983
"SHIAWASSEE, Michigan",2020,3,42.949754,-84.1857115
"SOUTHAMPTON, Virginia",2020,1,36.6788512,-77.1024902
"SPOKANE, Washington",2020,2,47.6587802,-117.4260465
"ST CHARLES, Missouri",2020,1,38.7881062,-90.4974359
"ST LOUIS, Minnesota",2020,3,47.7395106,-92.3623921
"ST LOUIS, Missouri",2020,6,38.6270025,-90.1994042
"STAFFORD, Virginia",2020,3,38.4220687,-77.4083086
"SUMMIT, Ohio",2020,1,41.0918991,-81.5596427
"SUSSEX, Delaware",2020,2,38.6530841,-75.4344727
"TARRANT, Texas",2020,4,32.7732044,-97.3516558
"TAZEWELL, Virginia",2020,2,37.1148374,-81.5195548
"THOMAS, Georgia",2020,3,30.8417409,-83.8473015
"TYLER, West Virginia",2020,2,39.4977025,-80.8543847
"UPSHUR, West Virginia",2020,1,38.8696797,-80.2321313
"VOLUSIA, Florida",2020,7,29.0279842,-81.0754657
"WARD, North Dakota",2020,1,48.2147451,-101.5805256
"WASHINGTON, Minnesota",2020,3,44.8896877,-92.8577105
"WASHINGTON, Oregon",2020,1,45.5469616,-123.1386021
"WASHOE, Nevada",2020,3,40.5608387,-119.6035495
"WAYNE, Michigan",2020,2,42.2814269,-83.3863214
"WAYNE, West Virginia",2020,1,38.2214748,-82.4423747
"WEBB, Texas",2020,17,27.7925109,-99.4228149
"WHITFIELD, Georgia",2020,2,34.8033566,-84.981754
"WOOD, West Virginia",2020,1,39.2154345,-81.4718387
"WRIGHT, Minnesota",2020,1,46.6715593,-93.0074403
"WYOMING, West Virginia",2020,1,37.6339466,-81.5596427
"ZAVALA, Texas",2020,2,28.8801264,-99.7232673
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
