DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,OFFENSE_SUBCAT_ID,OFFENSE_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT
2015,TX1250000,Jim Wells,,County,TX,Texas,West South Central,JIM WELLS,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX1760000,Newton,,County,TX,Texas,West South Central,NEWTON,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,TX1760000,Newton,,County,TX,Texas,West South Central,NEWTON,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,WA0030000,Benton,,County,WA,Washington,Pacific,BENTON,West,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,MN0100000,Carver,,County,MN,Minnesota,West North Central,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,GA0440200,DeKalb County Police Department,,County,GA,Georgia,South Atlantic,DEKALB,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,VA0070100,Arlington County Police Department,,County,VA,Virginia,South Atlantic,ARLINGTON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,VA0070100,Arlington County Police Department,,County,VA,Virginia,South Atlantic,ARLINGTON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,WA0180000,Kitsap,,County,WA,Washington,Pacific,KITSAP,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,TN0060000,Bradley,,County,TN,Tennessee,East South Central,BRADLEY,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,IL1010000,Winnebago,,County,IL,Illinois,East North Central,WINNEBAGO,Midwest,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,MN0270000,Hennepin,,County,MN,Minnesota,West North Central,HENNEPIN,Midwest,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2019,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,FL0360000,Lee,,County,FL,Florida,South Atlantic,LEE,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2017,MN0100000,Carver,,County,MN,Minnesota,West North Central,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,SC0290000,Lancaster,,County,SC,South Carolina,South Atlantic,LANCASTER,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,SC0290000,Lancaster,,County,SC,South Carolina,South Atlantic,LANCASTER,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,TX2050000,San Patricio,,County,TX,Texas,West South Central,SAN PATRICIO,South,9C,"MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,GA0130000,Brantley,,County,GA,Georgia,South Atlantic,BRANTLEY,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,GA1110000,Peach,,County,GA,Georgia,South Atlantic,PEACH,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,MT0160000,Gallatin,,County,MT,Montana,Mountain,GALLATIN,West,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,1,0
2017,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2017,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,0,0
2019,LA0080000,Bossier,,County,LA,Louisiana,West South Central,BOSSIER,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0280000,Cherokee,,County,GA,Georgia,South Atlantic,CHEROKEE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,1,0
2020,GA1100000,Paulding,,County,GA,Georgia,South Atlantic,PAULDING,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MO0922400,St. Charles County Police Department,,County,MO,Missouri,West North Central,ST CHARLES,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,TN0790000,Shelby,,County,TN,Tennessee,East South Central,SHELBY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,WA0320000,Spokane,,County,WA,Washington,Pacific,SPOKANE,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,TN0790000,Shelby,,County,TN,Tennessee,East South Central,SHELBY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,TN0750000,Rutherford,,County,TN,Tennessee,East South Central,RUTHERFORD,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,MN0100000,Carver,,County,MN,Minnesota,West North Central,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MN0230000,Fillmore,,County,MN,Minnesota,West North Central,FILLMORE,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX0770000,Floyd,,County,TX,Texas,West South Central,FLOYD,South,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,4,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX1340000,Kimble,,County,TX,Texas,West South Central,KIMBLE,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,4,0
2020,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,OH0570000,Montgomery,,County,OH,Ohio,East North Central,MONTGOMERY,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MO0600000,McDonald,,County,MO,Missouri,West North Central,MCDONALD,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX0140000,Bell,,County,TX,Texas,West South Central,BELL,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,5,0,5,0
2020,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,NC0180000,Catawba,,County,NC,North Carolina,South Atlantic,CATAWBA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,NC0180000,Catawba,,County,NC,North Carolina,South Atlantic,CATAWBA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,SC0300000,Laurens,,County,SC,South Carolina,South Atlantic,LAURENS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,OR0340000,Washington,,County,OR,Oregon,Pacific,WASHINGTON,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,WY0190000,Sweetwater,,County,WY,Wyoming,Mountain,SWEETWATER,West,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,3,0,0,0
2015,MD0110000,Frederick,,County,MD,Maryland,South Atlantic,FREDERICK,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,MONTGOMERY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,MN0520000,Nicollet,,County,MN,Minnesota,West North Central,NICOLLET,Midwest,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,2,0
2016,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,VA0890000,Stafford,,County,VA,Virginia,South Atlantic,STAFFORD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,FL0270000,Hernando,,County,FL,Florida,South Atlantic,HERNANDO,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,6,0,0,0
2018,FL0270000,Hernando,,County,FL,Florida,South Atlantic,HERNANDO,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,5,5,1,0
2017,SC0390000,Pickens,,County,SC,South Carolina,South Atlantic,PICKENS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MI2512500,Genesee,,County,MI,Michigan,East North Central,GENESEE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,6,0,6,0
2016,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2016,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,9,0,6,1
2016,MD0020200,Anne Arundel County Police Department,,County,MD,Maryland,South Atlantic,ANNE ARUNDEL,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2016,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,11,0,10,0
2016,WY0040000,Carbon,,County,WY,Wyoming,Mountain,CARBON,West,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2016,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,6,0,6,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2016,IL1010000,Winnebago,,County,IL,Illinois,East North Central,WINNEBAGO,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,16,0,9,0
2020,VA0920000,Tazewell,,County,VA,Virginia,South Atlantic,TAZEWELL,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,VA0930000,Warren,,County,VA,Virginia,South Atlantic,WARREN,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX0710000,El Paso,,County,TX,Texas,West South Central,EL PASO,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MI2512500,Genesee,,County,MI,Michigan,East North Central,GENESEE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,MI2512500,Genesee,,County,MI,Michigan,East North Central,GENESEE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,3,0,2,0
2020,TN0750000,Rutherford,,County,TN,Tennessee,East South Central,RUTHERFORD,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX0700000,Ellis,,County,TX,Texas,West South Central,ELLIS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,TX0700000,Ellis,,County,TX,Texas,West South Central,ELLIS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,VA0750300,Prince William County Police Department,,County,VA,Virginia,South Atlantic,PRINCE WILLIAM,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX1120000,Hopkins,,County,TX,Texas,West South Central,HOPKINS,South,8C,"Non-MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,KY0610000,Knox,,County,KY,Kentucky,East South Central,KNOX,South,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,VA0750300,Prince William County Police Department,,County,VA,Virginia,South Atlantic,PRINCE WILLIAM,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,0,0
2019,VA0550000,Lunenburg,,County,VA,Virginia,South Atlantic,LUNENBURG,South,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,1,1
2020,MN0820000,Washington,,County,MN,Minnesota,West North Central,WASHINGTON,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MN0390000,Lake of the Woods,,County,MN,Minnesota,West North Central,LAKE OF THE WOODS,Midwest,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,VA0570000,Mathews,,County,VA,Virginia,South Atlantic,MATHEWS,South,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0510000,Effingham,,County,GA,Georgia,South Atlantic,EFFINGHAM,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,OH0570000,Montgomery,,County,OH,Ohio,East North Central,MONTGOMERY,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,TX2050000,San Patricio,,County,TX,Texas,West South Central,SAN PATRICIO,South,9C,"MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,WI0440000,Oneida,,County,WI,Wisconsin,East North Central,ONEIDA,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,ND0280000,McLean,,County,ND,North Dakota,West North Central,MCLEAN,Midwest,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,FL0290000,Hillsborough,,County,FL,Florida,South Atlantic,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,16,8,12,0
2017,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2017,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,3,0,3,0
2017,CO0350000,Larimer,,County,CO,Colorado,Mountain,LARIMER,West,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,WI0710000,Winnebago,,County,WI,Wisconsin,East North Central,WINNEBAGO,Midwest,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,TX1700000,Montgomery,,County,TX,Texas,West South Central,MONTGOMERY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,1,0
2018,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,CO0300000,Jefferson,,County,CO,Colorado,Mountain,JEFFERSON,West,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,TX0140000,Bell,,County,TX,Texas,West South Central,BELL,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,KY0370000,Franklin,,County,KY,Kentucky,East South Central,FRANKLIN,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,MO0980000,Saline,,County,MO,Missouri,West North Central,SALINE,Midwest,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,WI0050000,Brown,,County,WI,Wisconsin,East North Central,BROWN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2020,OH0030000,Ashland,,County,OH,Ohio,East North Central,ASHLAND,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,CO0300000,Jefferson,,County,CO,Colorado,Mountain,JEFFERSON,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,MO0090000,Bollinger,,County,MO,Missouri,West North Central,BOLLINGER,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,4,0
2018,MI1911900,Clinton,,County,MI,Michigan,East North Central,CLINTON,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,IL0460000,Kankakee,,County,IL,Illinois,East North Central,KANKAKEE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,WY0190000,Sweetwater,,County,WY,Wyoming,Mountain,SWEETWATER,West,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,2,0
2019,IL1010000,Winnebago,,County,IL,Illinois,East North Central,WINNEBAGO,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2017,MN0070000,Blue Earth,,County,MN,Minnesota,West North Central,BLUE EARTH,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,4,0
2018,MO1050000,Stone,,County,MO,Missouri,West North Central,STONE,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,IL0220000,DuPage,,County,IL,Illinois,East North Central,DUPAGE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,MD0130000,Harford,,County,MD,Maryland,South Atlantic,HARFORD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
